name, distance_m
Bigogwe, 64036
Butaro, 74303
Byumba, 62204
Gakoma, 47144
Gikonko, 45528
Gitwe, 20988
Kabaya, 45794
Kabgayi, 4170
Kaduha, 39789
Kibilizi, 62872
Kigeme, 52392
Kinihira, 49680
Kirinda, 25376
Mugonero, 55376
Muhororo, 23545
Murunda, 49091
Nemba, 48736
Nyanza, 30443
Ruhango, 18886
Ruli, 28718
Shyira, 44988
